Dist_A0,Dist_A1,Dist_A2,Dist_A3,Dist_A4,Dist_A5,Dist_A6,Dist_A7
5.144832611,5.480333328,3.676888704,4.317630768,5.46724081,4.879159451,3.968106031,3.6396873
5.058488369,6.108349323,3.67045927,4.356467247,5.389485359,5.274927139,4.340578556,3.639942646
5.007185936,5.895161629,3.549644232,4.276313782,5.309370518,4.819434166,4.333259106,3.667911768
4.750045776,3.096706152,4.176484108,5.7689538,5.289499283,2.864285469,4.482963085,5.690689087
4.611474514,6.30494976,4.771880627,3.331482887,4.416297913,5.617621899,5.012340546,2.942740679
3.878895283,5.525577068,4.151632786,5.367200375,5.085692406,3.840036869,5.3647542,4.100679874
5.045545101,5.181027889,3.653364897,4.443680286,5.380732536,4.931615829,4.686326027,3.777523279
4.82621336,3.674818754,4.095875263,5.771753788,5.343400955,2.849534988,4.405501366,5.732445717
4.561738014,6.28975153,4.708873749,3.252851248,4.63176775,5.737548351,4.954683304,2.783448696
3.551860809,5.400146961,5.177921772,3.971927404,3.650531769,4.856554508,5.505349636,3.736180544
5.140398979,5.333063126,3.8509624,4.403004646,5.343830109,5.07973671,4.306386471,3.798836231
3.2112782,5.303758144,5.395611286,4.348073483,3.482484102,4.483757973,5.910490036,4.079980373
3.020397425,5.32096529,5.523167133,4.451789856,3.320582867,4.449426174,6.083287239,4.203352928
5.105053902,5.507211208,3.813485384,4.316426754,5.328127384,5.489027977,4.149032116,3.649444342
5.909281254,5.124483109,2.535955667,5.283817291,6.287168503,4.616343975,3.236747026,4.526273727
5.186342239,5.429852486,3.924973011,4.278897762,5.3419981,5.202927589,4.598546505,3.766131401
4.177329063,4.957118511,3.971674204,4.665876865,4.835330486,4.013551235,4.641019344,4.135821342
4.974459171,5.421690941,3.588760614,4.32446003,5.374994278,4.920208454,4.841635227,3.739028454
3.991021633,5.156570911,3.956631899,4.794244289,4.722480297,3.807191372,5.000556946,4.148725986
5.011241436,5.681512833,3.657782316,4.280837059,5.421041489,4.930936337,4.046461582,3.631356955
3.667180777,4.577261925,4.772256851,4.880003452,4.365236759,4.034277916,5.291330338,4.355023384
5.782907009,4.928416252,3.19631958,5.062116623,6.088382721,4.546850204,3.463063478,4.672087193
6.053441048,4.965504646,2.379117966,5.371591091,6.423867226,4.614358425,3.372551918,4.584271431
4.124391079,4.500520229,4.414861202,4.511776447,4.514884472,4.087589741,4.827501297,4.390982151
3.00526762,5.345945835,5.525265217,4.445250034,3.413597107,4.406935215,6.01068449,4.184566498
5.26103735,5.465278625,3.561034918,4.658357143,5.645739555,4.696814537,3.920518637,3.9739573
5.077643394,5.627660275,3.694736242,4.224253654,5.4557271,5.085287571,4.036213398,3.614488602
4.322253704,4.414209366,4.398920059,4.586127758,4.687900066,4.095516205,4.696795464,4.527034283
3.856151581,5.325312614,4.037347794,5.374979496,5.230364323,3.885671616,5.359841824,4.110188484
3.110672712,5.287407398,5.464403152,4.411352158,3.385382414,4.435254574,5.948789597,4.133072853
4.954386234,5.008165359,3.811369419,4.523957729,5.204976082,4.606025219,4.38262558,3.969544888
4.323251724,4.478185177,4.300881386,4.591726303,4.720024109,4.069885254,4.73418951,4.485271454
3.859611034,5.383205891,4.091752052,5.432668686,5.176330566,3.870391846,5.36964941,4.109288692
4.813038349,3.358147383,4.137272835,5.591513157,5.261054516,3.002477646,4.307631016,5.60255003
4.692613602,3.748439074,4.01991272,5.726346016,5.283091545,2.885592222,4.456330299,5.636523724
3.921713591,5.110448837,4.041861057,5.187551022,5.065470219,3.936873436,5.249765873,4.024679184
5.020161629,5.747898102,3.589446545,4.252262592,5.411801815,4.794516563,4.362303257,3.658646822
4.622107983,6.32038784,4.630548954,3.317044258,4.683671474,5.621198654,4.796402454,2.889937639
4.065038204,4.565796852,4.23134613,4.637356281,4.453167915,4.077931881,4.899634838,4.170730591
3.797664881,5.120622635,4.04781723,4.981785297,5.039961815,4.041631222,5.053820133,4.059537411
5.310962677,5.638715744,3.515975714,4.576512337,5.589782715,4.769902229,4.008996487,3.925909281
4.332044601,4.663832664,4.589980602,4.49108696,4.661744595,3.929720163,4.645406246,4.536229134
4.699715137,3.833960295,3.996744633,5.691051483,5.174768448,2.932855606,4.435678959,5.629397869
5.046207428,5.380133629,3.82981348,4.404286385,5.273398876,4.997365952,4.234727859,3.698659658
4.81884861,3.592604399,4.135026455,5.832407951,5.287504196,2.744450569,4.406653404,5.755821228
4.599531651,6.375641346,4.541789055,3.407891273,4.695821762,5.696895599,6.013832092,2.819518328
4.811850071,3.578844547,3.880598545,5.701422215,5.4092803,2.895534039,4.348566055,5.623659611
4.010684013,5.535051823,4.142440319,5.396236897,5.151716232,3.864727736,5.298099518,4.255571365
4.54227066,6.412102699,4.553064346,3.275483847,4.61406517,5.680543423,4.849159718,2.840377569
3.322264433,4.885942459,5.058597565,4.560789585,3.671265364,4.300840855,5.647206783,4.129166603
4.695866585,4.857062817,3.802235126,4.578217983,4.89980793,4.42280674,4.469481468,4.156102657
5.108243465,5.497448921,3.697991133,4.275254726,5.309278011,5.432513237,4.017726421,3.651328802
5.179793358,5.534579277,3.871738911,4.255960941,5.420057774,5.189271927,4.491569996,3.737992287
5.148302078,6.194085121,3.756540298,4.426627159,5.502635479,4.805745125,4.068802357,3.737577915
4.34103775,4.660877705,4.649150372,4.484671116,4.733915329,3.970076084,4.687025547,4.579873085
4.399706364,4.580557346,4.610217571,4.536522388,4.814005852,3.891712427,4.601873875,4.619202137
5.710868359,4.871620178,3.210719109,5.140805721,6.073263645,4.308579922,3.22254777,4.668778419
4.629358292,6.340800285,4.542928219,3.268434286,4.64961195,5.711382389,4.728496075,2.889068127
4.123795986,4.490944386,4.366633892,4.559008598,4.439827919,4.08231926,4.8691535,4.366556168
3.46620822,4.714694023,5.050279617,4.648766994,3.90824008,4.197385311,5.449188709,4.184669018
4.618851185,6.327900887,4.552960873,3.337797403,4.758473873,5.675932407,5.694881439,2.850750685
5.038025856,5.218624115,3.751343966,4.52646637,5.26663065,4.857373238,4.364476204,3.910006285
5.092306137,5.578435421,3.717741489,4.24848032,5.34965992,5.291609287,4.053802967,3.620486498
3.920529366,5.833586693,4.806462288,3.643665314,4.155915737,4.829926014,5.871221066,3.410415649
3.21688056,5.257605076,5.365504742,4.368053436,3.431290388,4.478456974,5.777433872,4.050008774
4.104358673,5.208588123,4.091796875,4.711495399,4.607254982,3.833406687,4.664598465,4.107084274
4.882170677,2.937721729,4.198884964,5.817651272,5.323766708,2.788583279,4.395153522,5.733557224
4.646131516,6.29018259,4.551700592,3.309414864,4.594477654,5.639382839,4.879671574,2.855923176
5.065075397,5.530580044,3.691727161,4.210781574,5.26418066,5.066708565,4.086271763,3.596641302
4.400160313,4.51448679,4.517301559,4.506809711,4.850475788,3.88427496,4.594285011,4.59163332
4.978007793,5.27438879,3.731638193,4.472899914,5.213486195,4.939424038,4.695823669,3.808393002
4.419341087,4.523477077,4.471060276,4.534006596,4.758917809,3.883773565,4.60902071,4.617274761
4.982525826,5.12457037,3.880514145,4.494985104,5.238420963,4.668527126,4.301126957,3.976242304
4.012591362,5.501263142,4.116246223,5.318085194,5.360124588,3.881946325,5.287205696,4.169522762
4.505720615,6.354372501,4.687612534,3.283067703,4.719202995,5.627641678,5.289478779,2.847125292
4.447459698,4.513536453,4.381764412,4.451647282,4.614775181,4.107456684,4.667026043,4.462977409
3.851829052,5.573793888,4.018762112,5.380431652,5.198385715,3.896794319,5.405459881,4.098477364
4.571967125,6.315958977,4.375401974,3.645177841,5.076323032,5.580726624,4.904326916,3.007342577
4.737039566,3.358542442,4.121627808,5.764636993,5.192009926,2.928439856,4.464314461,5.670507908
3.845076084,5.526861191,5.771476269,5.330579281,5.187113762,3.849551678,5.320478439,4.086800098
5.148758411,5.762656689,3.747898579,4.142005444,5.360590458,5.006000042,4.650043488,3.530238867
5.000941753,5.166047096,3.93721962,4.4957304,5.14316988,4.713590145,4.375330925,3.952156067
4.60539484,6.323321819,4.618013382,3.321172953,4.665050983,5.65063715,4.889807224,2.783401728
4.299262047,4.497515678,3.992726803,4.618005753,4.644631386,4.07145834,4.602871418,4.08347559
4.691318035,3.525967121,4.084466457,5.633788109,5.184085846,2.954977512,4.481168747,5.575057983
3.881854057,5.658968449,4.086308002,5.378465652,5.105081081,3.915337324,5.345298767,4.075693607
5.116326809,5.609471321,3.716050625,4.15980196,5.299552441,5.049397945,4.092547894,3.543203592
4.249103546,4.556468487,4.176673412,4.653254032,4.560095787,4.052102566,4.583546162,4.119807243
4.426085472,4.802462101,4.372902393,4.193913937,4.63448,4.164634228,4.693703651,4.334011078
4.752167225,6.276083469,4.370247841,3.691749573,5.297553062,5.5883255,4.789267063,3.060981512
3.986270666,5.258287907,4.169991493,5.373435497,5.110861301,3.861996174,5.22878933,4.275389671
4.247525215,4.540816307,3.962739229,4.67018795,4.686967373,4.136540413,4.593766689,4.209448814
4.812865734,3.068779469,4.109495163,5.66764164,5.296348095,2.906408787,4.307910442,5.646056175
5.851810455,5.102128983,2.544620514,5.268612385,6.075047016,4.604123592,3.061333179,4.533634186
3.032839298,5.236235619,5.531352997,4.468229771,3.295828819,4.348467827,6.021447659,4.238890648
4.551350594,6.381837845,4.736489773,3.232224226,4.559221745,5.762061596,5.024230957,2.778653383
4.155712128,4.565942287,4.162797928,4.635297775,4.512687206,4.024245262,4.706749439,4.123238564
5.140808582,5.374625206,3.774534464,4.326713085,5.34100771,5.121814251,4.249295235,3.764122009
4.454772472,4.913031101,4.026725769,4.180068493,4.732797623,4.237124443,4.550886631,4.26578331
4.74809742,3.39392519,4.226785183,5.731618881,5.163221836,2.92200017,4.477180481,5.642803669
5.876701355,5.08630991,3.00715065,5.177194595,6.270736694,4.628933907,3.667853594,4.571755409
4.904648304,5.099946022,3.755566359,4.566573143,5.183913231,4.598660946,4.611534119,4.038873196
4.814844131,3.637763739,3.955136776,5.56568718,5.353256702,3.042688608,4.174960136,5.489778519
4.600365162,3.811392546,4.328006744,5.509731293,5.004388332,3.13403511,4.553598881,5.409428596
6.015910149,4.926271915,2.663129568,5.302651405,6.301556587,4.644787312,3.153481007,4.554851532
4.797407627,3.808470488,4.023693085,5.596703053,5.267782688,2.980649471,4.299150467,5.477394104
5.036467075,5.68142271,3.494181871,4.346111298,5.34080267,4.909057617,4.364107609,3.721109867
4.844776154,5.856837749,4.115447044,3.786606312,4.894251347,5.205705643,4.483708858,3.293788433
4.715473175,3.392980337,3.933938026,5.603624344,5.20413208,2.929069281,4.399343967,5.531686783
3.86111784,5.367967129,4.120603085,5.330835342,5.138589859,3.934257507,5.389905453,4.080105782
5.134881496,5.538209915,4.014550686,4.25592947,5.270347595,5.323301792,4.523835182,3.729067087
3.825184584,5.487595558,4.027710915,5.452986717,5.146290302,3.804173231,5.447485924,4.148057461
4.556314945,6.248425484,4.62105608,3.239973307,4.686489582,5.694097996,5.041642189,2.830464363
4.292041779,4.606735706,4.178132057,4.743202209,4.629014015,4.174756527,4.594713211,4.194829941
4.597209454,6.442179203,4.601768017,3.306405783,4.72388649,5.699093819,4.80269289,2.814328432
4.207713604,4.413760185,4.384371281,4.495063305,4.678483963,4.03689909,4.761411667,4.398440361
5.982079029,5.184473038,2.8148067,5.244220257,6.201107025,4.720638752,3.092917681,4.571864605
4.317849159,4.686848164,4.452632904,4.455200672,4.69933033,3.940215111,4.703533173,4.579465389
4.400156975,4.619355202,4.126488209,4.648694038,4.668674946,4.318662167,4.449781895,4.135343552
4.990907192,3.0364151,3.99814558,5.858281136,5.393583298,2.73028636,4.319852352,5.803002357
3.934809208,5.547100067,4.084342957,4.936276913,4.906930923,3.782664537,5.05559063,4.013923168
4.388371944,4.557081223,4.330919743,4.520160198,4.712157249,3.950208426,4.601865292,4.595663071
4.615953445,6.306404114,4.544523239,3.305226088,4.609192371,5.666423798,4.831641197,2.886327028
4.149796963,4.7824893,4.495831966,4.33109045,4.482341766,4.24068594,4.889535427,4.355259895
4.525859833,6.341619968,4.690409184,3.209593296,4.721007824,5.685283661,5.083368778,2.77937746
4.631768227,6.241266251,4.551058769,3.32095027,4.757298946,5.709776878,5.234715939,2.802998304
3.839663267,5.513201714,4.074636459,5.385079861,4.976453304,3.879161119,5.36908102,4.144304276
4.186394215,4.634054661,3.990049601,4.666925907,4.688574314,4.074237823,4.596705914,4.085078239
4.166676521,5.912589073,4.648458004,3.573624372,4.551898956,5.245916843,5.557561874,3.23737359
4.983735561,3.049489021,4.02269125,5.871674061,5.481340885,2.712174416,4.297440529,5.834356785
5.164076805,5.69425106,3.759194374,4.166391373,5.444507122,4.972978115,3.979910851,3.529679298
4.52859354,6.294745922,4.687202454,3.25563693,4.631233692,5.707075596,4.833093166,2.773208618
3.121594906,5.247869492,5.466355324,4.488978386,3.296657085,4.384266853,5.991929054,4.244469643
3.27556324,4.817578793,5.083515644,4.607438087,3.796058655,4.21303463,5.591034412,4.138634205
