Est_X,Est_Y,Est_Z,Target_X,Target_Y,Target_Z,Dist_A0,Dist_A1,Dist_A2,Dist_A3,Dist_A4,Dist_A5,Dist_A6,Dist_A7
2.501138449,3.353642702,1.507913709,2.500005722,3.360002518,1.484788418,4.287049294,4.553620338,4.067075253,4.656657219,4.674946785,4.168558121,4.647243977,4.155858994
3.674118757,4.369675636,1.436586022,3.689770222,4.359993935,1.5,5.684703827,4.956763268,2.826765299,5.198116779,6.128282547,4.423544884,3.189110994,4.617816925
1.95486629,4.313196182,1.448217034,2.174659014,4.359984398,1.5,4.741230965,3.607485533,4.014021873,5.5822649,5.21668148,2.997300148,4.327569485,5.519983292
3.814843893,4.358804226,1.416131616,3.699988842,4.359989166,1.5,5.939230919,5.097742081,2.542980194,5.275158405,6.259680748,4.633348465,3.517371178,4.549802303
2.273007393,3.245366812,0.078470029,0,0,0,3.857162952,5.415584087,4.087807655,5.370171547,5.165473461,3.892489195,5.387519836,4.163238049
1.76300323,2.386400938,1.493474841,1.699995518,2.360150814,1.5,3.215289831,5.332982063,5.407588005,4.393785,3.390696526,4.449223042,5.898740292,4.075581551
1.696003914,2.351142406,1.556005359,1.700002551,2.360002279,1.5,3.166287899,5.297265053,5.516884327,4.40134573,3.313092947,4.575419903,5.968299389,4.181270123
3.78014493,4.352349758,1.406013727,3.699988842,4.359989166,1.5,5.870127201,5.060426712,2.585324526,5.261751175,6.149447918,4.578285694,3.084164143,4.519401073
3.674950361,3.764120102,1.498694539,3.699995279,3.569641352,1.5,5.411684513,5.140773773,3.297291756,4.834125519,5.817606926,4.807086945,3.730380297,4.167342663
2.374265432,2.415021658,1.547397494,1.967865109,2.35999918,1.5,3.668329954,5.549200058,4.835327625,3.689313173,3.803085089,4.832102299,5.357727051,3.6892097
1.658988237,2.362721205,1.458158016,1.699995518,2.360002518,1.5,2.988838673,5.316103458,5.521223545,4.471442223,3.352979183,4.368289948,5.987024307,4.1883564
2.36319685,3.419070005,1.645589948,2.360443115,3.370807648,1.499993443,4.37851572,4.49821806,4.274795055,4.531658649,4.736383915,4.028769493,4.686883926,4.567687035
2.536586285,3.30583334,1.096800566,2.500005484,3.360002756,0.944759607,4.084441185,5.220597267,4.128798008,4.635537148,4.758208752,4.009875298,4.73870039,4.127587795
1.653295398,3.995268583,1.600850582,1.699999928,4.244875908,1.5,4.34642458,3.589321613,4.522966862,5.495612144,4.714360714,3.282112122,4.753646851,5.308432102
2.855727196,4.341890335,1.507960081,3.252285242,4.359994411,1.5,5.15645647,4.09995842,3.421465397,5.554165363,5.584237576,3.641572952,3.627810717,4.926484108
2.468127012,3.423565149,1.582877517,2.72792244,3.367842674,1.499995232,4.326856613,4.481469154,4.274893284,4.992301941,4.596564293,4.113878727,4.572445869,4.369230747
1.638302565,2.357350826,1.499157786,1.699995518,2.360002518,1.5,3.009768963,5.2778368,5.598767757,4.454450607,3.326743126,4.446008205,6.026031971,4.219231129
2.365098715,3.441591263,1.541242599,2.360443115,3.370807648,1.499993443,4.290559769,4.471860409,4.208996296,4.855937004,4.90555048,4.009729385,4.602212429,4.39974165
2.239004374,3.283924818,0.023562014,0,0,0,3.888377905,5.33774519,4.107912064,5.369061947,5.170908451,3.890796423,5.369968891,4.123196602
2.502834797,3.347247601,1.480721593,2.500005722,3.360002518,1.456322312,4.211376667,4.575907707,4.147013664,4.648575783,4.661973953,4.084942818,4.591837406,4.140562057
3.772017002,4.352187157,1.572672129,3.699988842,4.359989166,1.5,5.943284988,5.055886269,2.921117783,5.286473751,6.358295441,4.592177391,3.051265001,4.584546089
3.811017036,4.332451344,1.294428587,3.699988842,4.359989166,1.5,5.994140625,5.022309303,2.54447937,5.277651787,6.329813957,4.639703751,3.591310263,4.523719788
2.385531187,3.345633984,0.054328032,2.360459566,3.370816469,0.208372325,3.988057613,5.573084354,4.328251362,5.362925529,5.351709366,3.898414612,5.285538673,4.215809345
1.67809248,2.36447525,1.535890341,1.699995518,2.360002518,1.5,3.108670473,5.227196217,5.552128315,4.430855751,3.356685162,4.511596203,5.986363888,4.196881294
1.670497417,4.37091732,1.551916361,1.719295621,4.35997963,1.5,4.788062572,3.374450207,4.210234165,5.777457714,5.227450371,2.899459839,4.497814178,5.712269783
2.387453318,3.254179716,1.655403733,2.360443115,3.370807648,1.499993443,4.09168148,4.633929253,4.485536575,4.413231373,4.555475235,4.253173351,4.962666035,4.31298542
3.748189449,3.411964655,1.595335484,3.699989319,3.360002518,1.5,5.294728279,5.538601875,3.730522871,4.36846447,5.561778545,5.178866386,3.896895885,3.730165958
1.645606995,2.347778559,1.489135623,1.699995518,2.360002518,1.5,3.018793106,5.30723381,5.56036377,4.528347969,3.213088512,4.43348217,6.021505356,4.208714008
3.626361132,3.340009928,1.61633122,3.667975187,3.36000514,1.5,5.052624702,5.372782707,3.941808939,4.358147621,5.216128349,5.082505703,4.027890682,3.70698905
1.653743267,2.332038879,1.509605765,1.699995518,2.360002518,1.5,3.027971268,5.306950092,5.56987524,4.451907158,3.276412487,4.412987709,6.027522087,4.261553764
1.833301902,4.326619625,1.422347665,1.699999809,4.35997963,1.5,4.756997585,3.737898111,3.96510601,5.638329029,5.308475971,2.946841717,4.355889797,5.516918659
2.551011801,3.294467211,1.060102701,2.500005484,3.360002756,0.892564893,4.079260826,4.990869045,4.048528194,4.662932873,4.762442112,4.107266903,4.723024845,4.146869659
2.327937365,3.265017033,0.070349649,0,0,0,3.814954996,5.541538715,4.236040115,5.385202885,5.20297575,3.900347471,5.389232159,4.124105453
3.701189518,3.387204647,1.469382644,3.699988365,3.363687277,1.5,5.187201023,5.383291721,3.612133265,4.408072472,5.558419228,4.930880547,4.007234573,3.77190733
3.720176458,3.333165169,1.523901582,3.699979782,3.360005379,1.5,5.12214613,5.5432024,3.835028648,4.295679569,5.343218803,5.300419807,4.089988708,3.675583363
3.786832571,2.565289736,1.41774869,3.699994326,2.427736759,1.5,4.746358871,6.302980423,4.299864292,3.678064823,5.16570425,5.579367638,4.75729847,3.040042639
3.714213848,2.371190548,1.538943648,3.699892759,2.359995842,1.5,4.596903801,6.340720177,4.665962696,3.309416056,4.688212872,5.645902157,4.838395119,2.797741652
2.430085659,3.354404926,0.084209345,2.360459328,3.370816231,0.442246944,4.020078182,5.446548462,4.05741024,5.332313061,5.422621727,3.904525042,5.297367096,4.099962234
3.830307961,4.393099308,1.507559419,3.699988842,4.359989166,1.5,5.989570141,5.097345829,2.784541368,5.317567825,6.408862591,4.575998306,3.014913082,4.562389851
3.737350464,2.365986824,1.480149746,3.699979782,2.359995842,1.5,4.627405167,6.277957916,4.559321404,3.326793671,4.74173975,5.72559309,5.253201008,2.84087944
2.2686975,3.246125937,0.077892855,0,0,0,3.849138975,5.349742889,4.019680023,5.405486584,5.105512619,3.818908215,5.399127483,4.147195339
